title,publication_frequency,url,place_of_publication,publisher,lccn_number,oclc_number,primary_language,start_year,end_year,city,county,state,latitude,longitude,place_0,subject_0,subject_1,note_0,note_1,note_2,note_3,the_geom,cartodb_id,created_at,updated_at
V“£Egv“£Ayzer The Jewish Indicator,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94093092,"Pití£sburg, Pa.",Jewish Indicator Pub. Co.,sn94093092,32794332,English,1924-01-01 00:00:00+00,1930-01-01 00:00:00+00,Pittsburgh,Allegheny,Pennsylvania,40.440625,-79.995886,Pennsylvania--Allegheny--Pittsburgh,Jewish newspapers--Pennsylvania.,Jewish newspapers.--fast--(OCoLC)fst00982872,"In Yiddish, English and Hebrew.",Microfilm.,,,0101000020E6100000D522A298BCFF53C06666666666384440,180,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Ledger,Weekly,http://chroniclingamerica.loc.gov/lccn/sn78004067,"Rochester, N.Y.",Herbert Grossman and Albert I. Klineman,sn78004067,4073460,English,1800-01-01 00:00:00+00,1999-01-01 00:00:00+00,Rochester,Monroe,New York,43.16103,-77.610922,New York--Monroe--Rochester,Jewish newspapers--New York (State),Jewish newspapers.--fast--(OCoLC)fst00982872,,,,,0101000020E61000000B9A9658196753C062D68BA19C944540,348,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
St Paul Jewish News,Semimonthly,http://chroniclingamerica.loc.gov/lccn/sn90059325,"St. Paul, Minn.",William Johnson,sn90059325,1764870,English,1991-01-01 00:00:00+00,,Saint Paul,Ramsey,Minnesota,44.953703,-93.089958,Minnesota--Ramsey--Saint Paul,Jewish newspapers--Minnesota.,Jewish newspapers.--fast--(OCoLC)fst00982872,Available on microfilm from the Minnesota Historical Society.,,,,0101000020E6100000DE0033DFC14557C06D8C9DF0127A4640,429,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Examiner,Weekly,http://chroniclingamerica.loc.gov/lccn/sn89070039,"Brooklyn, N.Y.",Judea Pub. Corp.,sn89070039,19576050,English,1906-01-01 00:00:00+00,1999-01-01 00:00:00+00,Brooklyn,Kings,New York,40.678178,-73.944158,New York--Kings--Brooklyn,"Brooklyn (New York, N.Y.)--Newspapers.",Jewish newspapers--New York (State)--New York.,Also issued on microfilm from the New York Public Library.,"Published as: Examiner, Apr. 13-July 27, 1951.",,,0101000020E61000006F10AD156D7C52C0F06E6589CE564440,533,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
B'Nai B'Rith Messenger,Weekly,http://chroniclingamerica.loc.gov/lccn/sn96017240,"Los Angeles, Calif.","B'nai B'rith Messenger, Co.",sn96017240,35591787,English,1898-01-01 00:00:00+00,1999-01-01 00:00:00+00,Los Angeles,Los Angeles,California,34.052234,-118.243685,California--Los Angeles--Los Angeles,Jewish newspapers--California.,Jewish newspapers--Pacific States.,"Absorbed: California Jewish review; Jewish community press; and: California Jewish voice.","Latest issue consulted: Vol. 99, no. 52 (Dec. 15, 1995).",Microfilm.,u,0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140,1,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Missouri Jewish Post And Opinion,Weekly,http://chroniclingamerica.loc.gov/lccn/sn83008405,"Indianapolis, Ind.",Jewish Post and Opinion,sn83008405,9787945,English,1900-01-01 00:00:00+00,1999-01-01 00:00:00+00,Indianapolis,Marion,Indiana,39.768403,-86.158068,Indiana--Marion--Indianapolis,Jewish newspapers--Missouri.,,"Description based on: Vol. 37, no. 25 (Mar. 13, 1970).","Editorial office in St. Louis, Mo., <1970>.","Latest issue consulted: Vol. 52, no. 27 (Mar. 19, 1986).","Publisher varies: Spokesman Co., <Sept. 26, 1985->",0101000020E6100000D3A23EC91D8A55C0FB928D075BE24340,2,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
American-Jewish Life,Monthly,http://chroniclingamerica.loc.gov/lccn/sn79002717,"Trenton, N.J.",Samuel D. Jacobs,sn79002717,4936194,English,1958-01-01 00:00:00+00,,Trenton,Mercer,New Jersey,40.217053,-74.742938,New Jersey--Mercer--Trenton,Jewish newspapers--New Jersey.,,Available on microfilm from the New York Public Library.,"Description based on: 9th year (June 26, 1967).",,,0101000020E6100000293DD34B8CAF52C0D53F8864C81B4440,3,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
National Jewish Ledger,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn86077243,"Rochester, N.Y.",National Jewish Ledger,sn86077243,13844039,English,1900-01-01 00:00:00+00,,Rochester,Monroe,New York,43.16103,-77.610922,New York--Monroe--Rochester,Jewish newspapers--United States.,,"""National news & views.""","Description based on: Mar. 27, 1986.","Issue for June 26, 1986 also called: Jerusalem anniversary ed.",,0101000020E61000000B9A9658196753C062D68BA19C944540,4,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Nevada Jewish Chronicle,Weekly,http://chroniclingamerica.loc.gov/lccn/sn86076453,"Las Vegas, Nev.",M. Zenoff,sn86076453,14923836,English,1961-01-01 00:00:00+00,1964-01-01 00:00:00+00,Las Vegas,Clark,Nevada,36.169941,-115.13983,Nevada--Clark--Las Vegas,Jewish newspapers--Nevada.,,,,,,0101000020E6100000FB3F87F9F2C85CC0F19F6EA0C0154240,5,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Las Vegas Israelite Of Nevada,Weekly,http://chroniclingamerica.loc.gov/lccn/sn86076010,"Las Vegas, Nev.",J. Tell,sn86076010,13499607,English,1965-01-01 00:00:00+00,1966-01-01 00:00:00+00,Las Vegas,Clark,Nevada,36.169941,-115.13983,Nevada--Clark--Las Vegas,Jewish newspapers--Nevada.,,,,,,0101000020E6100000FB3F87F9F2C85CC0F19F6EA0C0154240,6,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
American Jewish Ledger,Quarterly,http://chroniclingamerica.loc.gov/lccn/sn87003594,"Newark, N.J.",Simon Bloom,sn87003594,16949042,English,1900-01-01 00:00:00+00,,Newark,Essex,New Jersey,40.735657,-74.172367,New Jersey--Essex--Newark,Jewish newspapers--New Jersey.,,Available on microfilm from the New York Public Library.,"Description based on: Vol. 29, no. 7 (July 31, 1973).",,,0101000020E610000037FA980F088B52C0680932022A5E4440,7,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Southern Jewish Times,Monthly,http://chroniclingamerica.loc.gov/lccn/sn87050181,"Birmingham, Ala.",Jewish Newspaper Syndicate,sn87050181,15743308,English,1920-01-01 00:00:00+00,,Birmingham,Jefferson,Alabama,33.520661,-86.80249,Alabama--Jefferson--Birmingham,Jewish newspapers--Alabama.,,"""Published in the interest of the local Jewish communities of the South.""","Description based on: Vol. 10, no. 8 (Sept. 1935).",,,0101000020E61000007E5704FF5BB355C0BDA60705A5C24040,8,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
National Jewish Post And Opinion,Weekly,http://chroniclingamerica.loc.gov/lccn/sn87056583,"Indianapolis, Ind.","National Jewish Post, Ind.",sn87056583,17300754,English,1957-01-01 00:00:00+00,1966-01-01 00:00:00+00,Indianapolis,Marion,Indiana,39.768403,-86.158068,Indiana--Marion--Indianapolis,Jewish newspapers--Indiana.,,Also published in a national and regional editions.,,,,0101000020E6100000D3A23EC91D8A55C0FB928D075BE24340,9,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Valley Jewish News,Weekly,http://chroniclingamerica.loc.gov/lccn/sn99060624,"North Hollywood, Calif.",Harriet Ruth Nathan,sn99060624,41061509,English,1900-01-01 00:00:00+00,1999-01-01 00:00:00+00,Los Angeles,Los Angeles,California,34.052234,-118.243685,California--Los Angeles--Los Angeles,Jewish newspapers--California.,,"""Serving the Entire Jewish Community of San Fernando Valley.""","""Valley"" appears above ""Jewish News"" in thinner font.","Description based on: Vol. 8, no. 7 (Nov. 3, 1950).",,0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140,10,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Forward,Daily,http://chroniclingamerica.loc.gov/lccn/sn90061820,"St. Louis, Mo.",Jewish Daily Forward,sn90061820,21890262,English,1900-01-01 00:00:00+00,1999-01-01 00:00:00+00,Saint Louis,,Missouri,38.627003,-90.199404,Missouri--Saint Louis,Jewish newspapers--Missouri.,,"Description based on: Feb. 4, 1945.","In Hebrew, with some English.",,,0101000020E610000043ACFE08C38C56C038BF61A241504340,11,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Tribune,Weekly,http://chroniclingamerica.loc.gov/lccn/sn90098804,"Portland, Ore.",Mosessohn Bros.,sn90098804,22352582,English,1903-01-01 00:00:00+00,1922-01-01 00:00:00+00,Portland,Multnomah,Oregon,45.523062,-122.676482,Oregon--Multnomah--Portland,"Jewish newspapers--Northwest, Pacific.",,"""The only Jewish paper in the the Pacific Northwest.""",,,,0101000020E61000004A95287B4BAB5EC0E3E313B2F3C24640,12,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Community Journal,Monthly (except summer),http://chroniclingamerica.loc.gov/lccn/sn95068776,"Peoria, Ill.",Central Illinois Jewish Federation,sn95068776,10064049,English,1968-01-01 00:00:00+00,1978-01-01 00:00:00+00,Peoria,Peoria,Illinois,40.693649,-89.588986,Illinois--Peoria--Peoria,Jewish newspapers--Illinois.,,"""Serving Central Illinois.""",,,,0101000020E610000052F355F2B16556C099F38C7DC9584440,13,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish News,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068785,"Los Angeles, Calif.",California Jewish News Publications,sn95068785,32225036,English,1900-01-01 00:00:00+00,1969-01-01 00:00:00+00,Los Angeles,Los Angeles,California,34.052234,-118.243685,California--Los Angeles--Los Angeles,Jewish newspapers--California.,,"""San Fernando Valley, Beverly Hills, Los Angeles.""","Description based on: Vol. 17, no. 50 (Aug. 20, 1959).",,,0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140,14,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Southwestern Jewish Review,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068787,"San Diego, Calif.",H. Cerf Straus,sn95068787,32228683,English,1900-01-01 00:00:00+00,1942-01-01 00:00:00+00,San Diego,San Diego,California,32.715738,-117.161084,California--San Diego--San Diego,Jewish newspapers--California.,,"Description based on: Vol. 18, no. 48 (Sept. 8, 1932).",,,,0101000020E61000002BFA43334F4A5DC09240834D9D5B4040,15,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Press,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn95068802,"Los Angeles, Calif.",California Press Bureau,sn95068802,32419249,English,1900-01-01 00:00:00+00,1999-01-01 00:00:00+00,Los Angeles,Los Angeles,California,34.052234,-118.243685,California--Los Angeles--Los Angeles,Jewish newspapers--California.,,"Description based on: Vol. 30, no. 24 (May 1, 1981).",,,,0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140,16,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Boston Jewish Chronicle,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068503,"Boston, Mass.",Jewish Chronicle Pub. Co.,sn95068503,31800588,English,1890-01-01 00:00:00+00,1892-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Jewish newspapers--Massachusetts--Boston.,,"""The Boston"" appears on ribbon in masthead ornament.","Description based on: Vol. 2, no. 32 (July 17, 1891).",Editor: A.G. Daniels.,,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,18,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Chronicle,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068504,"Boston, Mass.",Jewish Chronicle Pub. Co.,sn95068504,31800608,English,1892-01-01 00:00:00+00,1893-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Jewish newspapers--Massachusetts--Boston.,,Editor: A.G. Daniels.,,,,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,19,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Guide,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068510,"Boston, Mass.",World Pub. Co.,sn95068510,32443155,English,1941-01-01 00:00:00+00,1999-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Jewish newspapers--Massachusetts.,,"Description based on: Vol. 1, no. 3 (Jan. 31, 1941).",Editor: Harry L. Katz.,"Published from the office of Jewish world (Boston, Mass.).",,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,20,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish World,Monthly,http://chroniclingamerica.loc.gov/lccn/sn95068517,"Fairview Heights, IL",Jewish World News,sn95068517,31805633,English,1900-01-01 00:00:00+00,,Fairview Heights,Saint Clair,Illinois,38.588939,-89.990382,Illinois--Saint Clair--Fairview Heights,Jewish newspapers--Illinois.,,Description based on: Jan. 1992.,Editor: Scott M. Rose.,"Serves Illinois, Indiana, Kentucky, Missouri, and Ohio.","Vol. numbering begins with v. 2, no. 1 (May 1992).",0101000020E610000003232F6B627F56C0632B685A624B4340,21,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Bost“£On Blat“£ = Boston Jewish News,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068752,"Boston, Mass.",Boston Hebrew Pub. Co.,sn95068752,32141886,Yiddish,1910-01-01 00:00:00+00,1999-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Jewish newspapers--Massachusetts.,,"Description based on: Vol. 6, no. 34 (June 21, 1918).",In Yiddish.,,,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,22,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Journal,Semimonthly,http://chroniclingamerica.loc.gov/lccn/sn95068766,"Passaic, N.J.",[s.n.],sn95068766,4280013,English,1940-01-01 00:00:00+00,1949-01-01 00:00:00+00,Passaic,Passaic,New Jersey,40.856766,-74.128476,New Jersey--Passaic--Passaic,Jewish newspapers--New Jersey.,,,,,,0101000020E61000008A9466F3388852C091291F82AA6D4440,23,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Ledger,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068767,"Trenton, N.J.",[Jewish Ledger],sn95068767,32191080,English,1935-01-01 00:00:00+00,1939-01-01 00:00:00+00,Trenton,Mercer,New Jersey,40.217053,-74.742938,New Jersey--Mercer--Trenton,Jewish newspapers--New Jersey.,,"Description based on: Vol. 1, no. 4 (Nov. 19, 1935).",,,,0101000020E6100000293DD34B8CAF52C0D53F8864C81B4440,24,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Ledger And Woodridge Recorder,Weekly,http://chroniclingamerica.loc.gov/lccn/sn95068768,"Trenton, N.J.",Jewish Ledger,sn95068768,32195806,English,1936-01-01 00:00:00+00,1939-01-01 00:00:00+00,Trenton,Mercer,New Jersey,40.217053,-74.742938,New Jersey--Mercer--Trenton,Jewish newspapers--New Jersey.,,"Description based on: Vol. 3 [sic], no. 11 [i.e. 12] (Jan. 14, 1936).",,,,0101000020E6100000293DD34B8CAF52C0D53F8864C81B4440,25,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Press,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94092990,"Milwaukee, Wis.",Horwitz Pub. Co.,sn94092990,33390443,English,1900-01-01 00:00:00+00,1999-01-01 00:00:00+00,Milwaukee,Milwaukee,Wisconsin,43.038903,-87.906474,Wisconsin--Milwaukee--Milwaukee,Jewish newspapers--Wisconsin.,,"Description based on: Nov. 17, 1926.",In Yiddish and English.,"Issues for Nov. 17, 1926-July 13, 1927 lack volume and issue numbering.",Microfilm.,0101000020E6100000282B86AB03FA55C0AF5B04C6FA844540,26,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Criterion,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94092702,"Pittsburg, Pa.",Steinfirst & Mayer,sn94092702,32784492,English,1895-01-01 00:00:00+00,1962-01-01 00:00:00+00,Pittsburgh,Allegheny,Pennsylvania,40.440625,-79.995886,Pennsylvania--Allegheny--Pittsburgh,Jewish newspapers--United States.,,"""Oldest English printed Jewish weekly representing Western Pennsylvania, Eastern Ohio and West Virginia jewry.""","Merged with: American Jewish outlook, to form: Jewish chronicle (Pittsburgh, Pa.).",Microfilm.,"On masthead ""Pittsburgh and Philadelphia,"" <1902>.",0101000020E6100000D522A298BCFF53C06666666666384440,27,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Dzshoyrzi Sht“£Ime The Jersey Voice,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94092728,"Bayonne, N.J.",Jersey Voice Pub. Co.,sn94092728,32785321,English,1900-01-01 00:00:00+00,,Bayonne,Hudson,New Jersey,40.668714,-74.114309,New Jersey--Hudson--Bayonne,Jewish newspapers--New Jersey.,,"Description based on: Vol. 3, no. 2 (Feb. 3, 1928).",In Yiddish and English.,Microfilm.,,0101000020E6100000DD28B2D6508752C04D309C6B98554440,28,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Boston Advocate,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94088919,"Boston, Mass.",Boston Advocate Co.,sn94088919,32380255,English,1905-01-01 00:00:00+00,1909-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Jewish newspapers--New England.,,Microfilm.,,,,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,29,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
